Chapter,Kanji,Romaji,English,Partition,Icon,Layout,Color
40,御法,Minori,The Law,"[{1, 4}, {2, 5}, {3}]",n,"[(1.0, {1, 4}), (0.8, {2, 5}), (0.6, {3})]",black
41,幻,Maboroshi,Mirage,"[{1, 5}, {2}, {3}, {4}]",o,"[(1.0, {1, 5}), (0.8, {2}), (0.8, {3}), (0.8, {4})]",black
42,匂宮,Nioumiya,Niou,"[{1, 2, 4}, {3, 5}]",p,"[(0.8, {1, 2, 4}), (1.0, {3, 5})]",red
43,紅梅,Kōbai,Kōbai,"[{1}, {2, 5}, {3}, {4}]",q,"[(1.0, {1}), (1.0, {2, 5}), (0.8, {3}), (0.8, {4})]",black
44,竹河,Takekawa,Bamboo River,"[{1, 5}, {2, 3, 4}]",r,"[(1.0, {1, 5}), (0.8, {2, 3, 4})]",black
45,橋姫,Hashihime,The Bridge Maiden,"[{1, 3, 4, 5}, {2}]",s,"[(1.0, {1, 3, 4, 5}), (0.8, {2})]",black
46,椎本,Shiigamoto,At the Foot of the Oak Tree,"[{1, 4}, {2, 3}, {5}]",t,"[(1.0, {1, 4}), (0.8, {2, 3}), (1.0, {5})]",black
47,総角,Agemaki,Agemaki,"[{1, 4, 5}, {2, 3}]",u,"[(1.0, {1, 4, 5}), (0.8, {2, 3})]",black
48,早蕨,Sawarabi,Fern Shoots,"[{1, 2}, {3, 5}, {4}]",v,"[(1.0, {1, 2}), (1.0, {3, 5}), (0.8, {4})]",black
49,宿木,Yadorigi,The Mistletoe,"[{1, 2, 4, 5}, {3}]",w,"[(1.0, {1, 2, 4, 5}), (0.8, {3})]",black
50,東屋,Azumaya,The Eastern House,"[{1, 2, 5}, {3}, {4}]",x,"[(1.0, {1, 2, 5}), (0.8, {3}), (0.8, {4})]",black
51,浮舟,Ukifune,Ukifune,"[{1, 5}, {2, 3}, {4}]",y,"[(1.0, {1, 5}), (0.8, {2, 3}), (0.8, {4})]",black
52,蜻蛉,Kagerō,The Gossamer Fly,"[{1, 3, 5}, {2, 4}]",z,"[(1.0, {1, 3, 5}), (0.8, {2, 4})]",black
53,手習,Tenarai,Writing Practice,"[{1, 2, 3, 4, 5}]",1,"[(1.0, {1, 2, 3, 4, 5})]",black
